round,Labeler_tokens,LongMem_tokens,Labeler_tool_calls,LongMem_tool_calls
95,2425,1412,0,0
96,2568,0,0,0
97,2446,0,0,0
98,2478,0,0,0
99,2410,0,0,0
100,2590,1314,0,0
101,2409,0,0,0
102,2330,0,0,0
103,2329,0,0,0
104,2366,0,0,0
105,2398,957,0,0
106,2309,0,0,0
107,2780,0,0,0
108,2158,0,0,0
109,2243,0,0,0
110,2102,1186,0,0
111,2125,0,0,0
112,2141,0,0,0
113,2297,0,0,0
114,2311,0,0,0
115,2174,1092,0,0
116,2201,0,0,0
117,2189,0,0,0
118,2364,0,0,0
119,2227,0,0,0
120,2372,1104,0,0
121,2249,0,0,0
122,2377,0,0,0
123,2226,0,0,0
124,2356,0,0,0
125,2169,1846,0,0
126,2133,0,0,0
127,2238,0,0,0
128,2293,0,0,0
129,2781,0,0,0
130,2270,935,0,0
131,2452,0,0,0
132,2316,0,0,0
133,2428,0,0,0
134,2524,0,0,0
135,2524,1012,0,0
136,2815,0,0,0
137,2684,0,0,0
138,2314,0,0,0
139,2567,0,0,0
140,2455,818,0,0
141,2273,0,0,0
142,2262,0,0,0
143,2376,0,0,0
144,2300,0,0,0
145,2474,1932,0,0
146,2358,0,0,0
147,2315,0,0,0
148,2475,0,0,0
149,2431,0,0,0
150,2323,1000,0,0
151,2322,0,0,0
152,2379,0,0,0
153,2327,0,0,0
154,2305,0,0,0
155,2594,856,0,0
156,2400,0,0,0
157,2582,0,0,0
158,2446,0,0,0
159,2339,0,0,0
160,2436,901,0,0
161,2475,0,0,0
162,2361,0,0,0
163,2352,0,0,0
164,2268,0,0,0
165,2343,842,0,0
166,2054,0,0,0
167,2177,0,0,0
168,2134,0,0,0
169,2070,0,0,0
170,2146,896,0,0
171,2091,0,0,0
172,2058,0,0,0
173,2050,0,0,0
174,1905,0,0,0
175,2009,1106,0,0
176,1906,0,0,0
177,1968,0,0,0
178,1884,0,0,0
179,1982,0,0,0
180,1988,987,0,0
181,1931,0,0,0
182,1850,0,0,0
183,1860,0,0,0
184,1838,0,0,0
185,1938,1191,0,0
186,1898,0,0,0
187,1861,0,0,0
188,1951,0,0,0
189,2079,0,0,0
190,2089,1482,0,0
191,2257,0,0,0
192,2190,0,0,0
193,2282,0,0,0
194,2321,0,0,0
195,2258,808,0,0
196,2252,0,0,0
197,2463,0,0,0
198,2326,0,0,0
199,2324,0,0,0
200,2344,857,0,0
201,2321,0,0,0
202,2320,0,0,0
203,2393,0,0,0
204,2430,0,0,0
205,2337,672,0,0
206,2201,0,0,0
207,2175,0,0,0
208,2171,0,0,0
209,2454,0,0,0
210,2257,942,0,0
211,2174,0,0,0
212,2187,0,0,0
213,2238,0,0,0
214,2184,0,0,0
215,2259,957,0,0
216,2323,0,0,0
217,2419,0,0,0
218,2284,0,0,0
219,2268,0,0,0
220,2260,1270,0,0
221,2363,0,0,0
222,2448,0,0,0
223,2317,0,0,0
224,2179,0,0,0
225,2278,1015,0,0
226,2165,0,0,0
227,2149,0,0,0
228,2220,0,0,0
229,2169,0,0,0
230,2143,1388,0,0
231,2177,0,0,0
232,2152,0,0,0
233,2241,0,0,0
234,2199,0,0,0
235,2274,807,0,0
236,2168,0,0,0
237,2254,0,0,0
238,2254,0,0,0
239,2214,0,0,0
240,2155,888,0,0
241,2173,0,0,0
242,2278,0,0,0
243,2280,0,0,0
244,2246,0,0,0
245,2156,963,0,0
246,2307,0,0,0
247,2071,0,0,0
248,2088,0,0,0
249,2201,0,0,0
250,2120,956,0,0
251,2432,0,0,0
252,2062,0,0,0
253,2067,0,0,0
254,2147,0,0,0
255,2064,759,0,0
256,2187,0,0,0
257,2064,0,0,0
258,2015,0,0,0
259,2150,0,0,0
260,2094,864,0,0
261,2237,0,0,0
262,2312,0,0,0
263,2538,0,0,0
264,2572,0,0,0
265,2591,927,0,0
266,2386,0,0,0
267,2386,0,0,0
268,2626,0,0,0
269,2630,0,0,0
270,2531,1056,0,0
271,2638,0,0,0
272,2776,0,0,0
273,2782,0,0,0
274,2767,0,0,0
275,2965,1112,0,0
276,2848,0,0,0
277,2815,0,0,0
278,3246,0,0,0
279,2966,0,0,0
280,3048,1102,0,0
281,2999,0,0,0
282,2870,0,0,0
283,3047,0,0,0
284,3063,0,0,0
285,2951,1044,0,0
286,2897,0,0,0
287,2648,0,0,0
288,2693,0,0,0
289,2734,0,0,0
290,2634,1026,0,0
291,2529,0,0,0
292,2444,0,0,0
293,2621,0,0,0
294,2373,0,0,0
295,2589,1374,0,0
296,2503,0,0,0
297,2404,0,0,0
298,2329,0,0,0
299,2390,0,0,0
300,2426,982,0,0
301,2213,0,0,0
302,2236,0,0,0
303,2378,0,0,0
304,2313,0,0,0
305,2231,888,0,0
306,2134,0,0,0
307,2166,0,0,0
308,2630,0,0,0
309,2177,0,0,0
310,2267,991,0,0
311,2236,0,0,0
312,2556,0,0,0
313,2406,0,0,0
314,2370,0,0,0
315,2367,1197,0,0
316,2474,0,0,0
317,2475,0,0,0
318,2534,0,0,0
319,2518,0,0,0
320,2500,1318,0,0
321,3444,0,0,0
322,2437,0,0,0
323,2461,0,0,0
324,2496,0,0,0
325,2399,1664,0,0
326,2326,0,0,0
327,2686,0,0,0
328,2297,0,0,0
329,2523,0,0,0
330,2502,1066,0,0
331,2457,0,0,0
332,2663,0,0,0
333,2352,0,0,0
334,2346,0,0,0
335,2500,956,0,0
336,2425,0,0,0
337,2422,0,0,0
338,2425,0,0,0
339,2496,0,0,0
340,2387,1583,0,0
341,2187,0,0,0
342,2155,0,0,0
343,2130,0,0,0
344,2184,0,0,0
345,2231,1059,0,0
346,2152,0,0,0
347,2308,0,0,0
348,2209,0,0,0
349,2410,0,0,0
350,2263,863,0,0
351,2281,0,0,0
352,2428,0,0,0
353,2431,0,0,0
354,2434,0,0,0
355,2446,1062,0,0
356,2335,0,0,0
357,2415,0,0,0
358,2506,0,0,0
359,2398,0,0,0
360,2933,1000,0,0
361,2465,0,0,0
362,2290,0,0,0
363,2271,0,0,0
364,2274,0,0,0
365,2264,1072,0,0
366,2387,0,0,0
367,2357,0,0,0
368,2438,0,0,0
369,2394,0,0,0
370,2321,1500,0,0
371,2359,0,0,0
372,2187,0,0,0
373,2174,0,0,0
374,2079,0,0,0
375,2105,1112,0,0
376,2279,0,0,0
377,2237,0,0,0
378,2073,0,0,0
379,2191,0,0,0
380,2157,1159,0,0
381,2167,0,0,0
382,1946,0,0,0
383,2186,0,0,0
384,2005,0,0,0
385,2213,912,0,0
386,2041,0,0,0
387,2139,0,0,0
388,2251,0,0,0
389,2241,0,0,0
390,2244,858,0,0
391,2155,0,0,0
392,2375,0,0,0
393,2187,0,0,0
394,2101,0,0,0
395,2378,897,0,0
396,2372,0,0,0
397,2296,0,0,0
398,2331,0,0,0
399,2272,0,0,0
400,2554,975,0,0
401,2469,0,0,0
402,2431,0,0,0
403,2575,0,0,0
404,2411,0,0,0
405,2516,1016,0,0
406,2596,0,0,0
407,2488,0,0,0
408,2596,0,0,0
409,2439,0,0,0
410,2522,1165,0,0
411,2606,0,0,0
412,2433,0,0,0
413,2453,0,0,0
414,2599,0,0,0
415,2718,798,0,0
416,2505,0,0,0
417,2639,0,0,0
418,2385,0,0,0
419,2687,0,0,0
420,2352,1053,0,0
421,2435,0,0,0
422,2448,0,0,0
423,2482,0,0,0
424,2380,0,0,0
425,2369,1085,0,0
426,2385,0,0,0
427,2213,0,0,0
428,2119,0,0,0
429,2242,0,0,0
430,2386,1243,0,0
431,2391,0,0,0
432,2273,0,0,0
433,2181,0,0,0
434,2169,0,0,0
435,2232,928,0,0
436,2167,0,0,0
437,2190,0,0,0
438,1958,0,0,0
439,2044,0,0,0
440,1986,1024,0,0
441,2134,0,0,0
442,1982,0,0,0
443,1986,0,0,0
444,2022,0,0,0
445,2021,948,0,0
446,1972,0,0,0
447,2033,0,0,0
448,2307,0,0,0
449,2331,0,0,0
450,2323,1140,0,0
451,2386,0,0,0
452,2407,0,0,0
453,2334,0,0,0
454,2249,0,0,0
455,2297,1369,0,0
456,2399,0,0,0
457,2300,0,0,0
458,2380,0,0,0
459,2477,0,0,0
460,2440,1282,0,0
461,2573,0,0,0
462,2518,0,0,0
463,2701,0,0,0
464,2637,0,0,0
465,2628,962,0,0
466,2570,0,0,0
467,2705,0,0,0
468,2599,0,0,0
469,2713,0,0,0
470,2672,961,0,0
471,2742,0,0,0
472,2315,0,0,0
473,2250,0,0,0
474,2266,0,0,0
475,2330,1083,0,0
476,2362,0,0,0
477,2426,0,0,0
478,2346,0,0,0
479,2326,0,0,0
480,2107,1017,0,0
481,2153,0,0,0
482,2141,0,0,0
483,2103,0,0,0
484,2292,0,0,0
485,2186,938,0,0
486,1985,0,0,0
487,2024,0,0,0
488,2158,0,0,0
489,2081,0,0,0
490,2075,973,0,0
491,2105,0,0,0
492,2035,0,0,0
493,2054,0,0,0
494,2050,0,0,0
495,2211,998,0,0
496,2120,0,0,0
497,2284,0,0,0
498,2074,0,0,0
499,2226,0,0,0
500,2221,1083,0,0
501,2128,0,0,0
502,2274,0,0,0
503,2071,0,0,0
504,2256,0,0,0
505,2083,975,0,0
506,2074,0,0,0
507,2046,0,0,0
508,2089,0,0,0
509,2123,0,0,0
510,2190,887,0,0
511,2179,0,0,0
512,2355,0,0,0
513,2084,0,0,0
514,2113,0,0,0
515,2077,1076,0,0
516,2028,0,0,0
517,2121,0,0,0
518,2053,0,0,0
519,2230,0,0,0
520,2092,968,0,0
521,2157,0,0,0
522,2137,0,0,0
523,2261,0,0,0
524,2466,0,0,0
525,2381,1098,0,0
526,2102,0,0,0
527,2186,0,0,0
528,2399,0,0,0
529,2421,0,0,0
530,2298,1104,0,0
531,2338,0,0,0
532,2307,0,0,0
533,2276,0,0,0
534,2382,0,0,0
535,2208,1142,0,0
536,2361,0,0,0
537,2591,0,0,0
538,2485,0,0,0
539,2804,0,0,0
540,2538,1177,0,0
541,2475,0,0,0
542,2565,0,0,0
543,2405,0,0,0
544,2435,0,0,0
545,2384,1045,0,0
546,2406,0,0,0
547,2403,0,0,0
548,2331,0,0,0
549,2515,0,0,0
550,2450,1063,0,0
551,2431,0,0,0
552,2264,0,0,0
553,2224,0,0,0
554,2272,0,0,0
